x	y	angle	response
134.98	807.278	15.3858	0.0267089
134.98	807.278	199.83	0.0267089
135.009	789.428	219.318	0.0185802
135.011	780.979	22.3093	0.02021
135.177	826.009	100.243	0.0280154
135.188	724.477	163.234	0.026473
135.188	724.477	339.342	0.026473
135.215	913.65	352.514	0.0380175
135.26	824.727	100.531	0.0254837
135.364	880.075	352.762	0.0218477
135.757	770.321	53.4584	0.0177085
135.757	770.321	225.74	0.0177085
135.933	963.852	269.311	0.0302675
136.068	711.752	329.066	0.0180304
136.116	893.826	309.841	0.0178156
136.153	541.363	271.602	0.0272875
136.401	1080.98	191.685	0.0199696
136.525	811.166	202.804	0.0232302
136.969	936.64	19.5475	0.0379736
137.031	874.888	121.196	0.0234799
137.031	874.888	320.631	0.0234799
137.922	724.251	338.262	0.0138515
138.204	751.445	147.65	0.0139842
138.204	751.445	311.074	0.0139842
138.283	798.098	54.0337	0.0165402
138.283	798.098	164.39	0.0165402
138.303	1034.55	191.812	0.0193168
138.356	781.903	31.697	0.013858
138.727	999.382	188.086	0.0182002
139.324	1019	170.305	0.0135891
139.416	805.335	179.252	0.0138695
139.468	953.127	29.321	0.0465331
139.507	764.003	228.566	0.0245797
139.534	762.434	61.6338	0.0226461
139.603	222.19	173.89	0.0264164
139.629	971.201	76.826	0.0182137
139.775	1022.94	172.641	0.015648
140.016	942.719	61.6363	0.0137198
140.117	779.329	29.0279	0.0134501
140.179	846.133	84.2048	0.0349155
140.245	867.008	126.209	0.0145329
140.307	684.821	108.044	0.0141327
140.476	937.793	19.9912	0.0272265
140.503	538.695	270.605	0.0265279
140.632	42.1607	9.12067	0.0256835
140.632	42.1607	191.475	0.0256835
140.685	735.716	150.599	0.0195098
140.685	735.716	330.133	0.0195098
140.945	930.183	37.8434	0.0288951
141.218	808.99	57.184	0.0283349
141.218	808.99	188.518	0.0283349
141.218	808.99	331.808	0.0283349
141.513	548.475	101.797	0.0196001
141.676	870.506	210.79	0.0173257
142.165	864.186	129.215	0.0135208
142.423	773.886	24.4985	0.0198218
142.5	748.216	324.49	0.0161481
142.648	738.749	149.013	0.0232023
142.648	738.749	323.597	0.0232023
142.654	820.232	211.502	0.0172553
142.847	857.86	96.0777	0.0163858
143.401	878.416	199.777	0.0142857
143.614	920.589	245.811	0.0161277
143.88	787.146	246.047	0.014423
143.948	723.922	244.332	0.0167449
143.977	970.669	84.4606	0.0207846
143.977	970.669	176.498	0.0207846
144.052	908.754	157.595	0.03067
144.053	1018.05	172.479	0.0196863
144.057	912.932	160.321	0.0257366
144.119	732.993	158.535	0.0142904
144.119	732.993	258.132	0.0142904
144.121	896.808	314.66	0.0320759
144.159	779.78	23.7959	0.0270074
144.204	924.139	62.0799	0.0285482
144.235	786.665	240.284	0.0144357
144.493	794.126	160.508	0.0161076
144.493	794.126	196.503	0.0161076
144.493	794.126	256.147	0.0161076
144.644	766.123	15.9459	0.0214491
144.726	776.811	29.3365	0.0232947
145.077	988.313	217.182	0.0212578
145.132	963.422	251.029	0.0319318
145.388	864.571	161.096	0.0136783
145.445	917.937	170.056	0.0137919
145.445	917.937	195.867	0.0137919
145.45	828.961	83.2111	0.0542795
145.696	869.756	180.867	0.0173309
145.77	837.997	289.453	0.0242464
146.402	847.502	270.013	0.0263474
146.535	903.503	311.101	0.0285148
146.63	884.011	169.17	0.024853
146.762	753.201	325.75	0.0157017
147.11	547.646	289.586	0.014086
147.342	538.861	270.273	0.0272945
147.523	928.086	34.9907	0.0418015
147.523	928.086	77.3243	0.0418015
147.851	912.827	4.78226	0.0452283
147.851	912.827	134.181	0.0452283
147.863	941.611	240.156	0.0133702
147.891	860.351	17.9023	0.0243683
147.891	860.351	171.486	0.0243683
147.935	768.054	19.3294	0.0308273
147.962	968.161	246.709	0.0325825
148.389	920.877	70.4558	0.037474
148.633	787.506	144.006	0.0273131
148.633	787.506	305.636	0.0273131
148.677	869.537	180.367	0.020967
148.768	945.414	167.252	0.0246529
149.025	962.202	194.331	0.0219352
149.177	775.007	195.712	0.018053
